image_name,label,tvt,image_link,x_pos,y_pos
train_TCGA-55-6968-11A-01-TS1.64e5c4f1-759c-4819-b061-59bd248a5128_12_7.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-6968-11A-01-TS1.64e5c4f1-759c-4819-b061-59bd248a5128_files/5.0/12_7.jpeg,12,7
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_4_12.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/4_12.jpeg,4,12
train_TCGA-66-2768-11A-01-BS1.ec9dd0bd-56ed-4974-97f6-ed6a845c9d0a_10_3.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2768-11A-01-BS1.ec9dd0bd-56ed-4974-97f6-ed6a845c9d0a_files/5.0/10_3.jpeg,10,3
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_14_6.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/14_6.jpeg,14,6
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_11_9.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/11_9.jpeg,11,9
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_6_12.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/6_12.jpeg,6,12
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_4_11.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/4_11.jpeg,4,11
valid_TCGA-49-4510-11A-01-TS1.7310b502-a637-4912-857b-3c52214ad706_11_11.jpeg,Solid_Tissue_Normal,valid,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-49-4510-11A-01-TS1.7310b502-a637-4912-857b-3c52214ad706_files/5.0/11_11.jpeg,11,11
train_TCGA-55-7911-11A-01-TS1.a095ee17-993e-42a4-b1aa-bf44204029fc_12_4.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-55-7911-11A-01-TS1.a095ee17-993e-42a4-b1aa-bf44204029fc_files/5.0/12_4.jpeg,12,4
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_5_15.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/5_15.jpeg,5,15
train_TCGA-33-4587-11A-01-TS1.9c0535ae-3c62-4568-b3e1-98c10fb22431_23_6.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4587-11A-01-TS1.9c0535ae-3c62-4568-b3e1-98c10fb22431_files/5.0/23_6.jpeg,23,6
test_TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_13_11.jpeg,Solid_Tissue_Normal,test,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2759-11A-01-BS1.d509fc55-06c7-4fb7-9c42-a9a62fc3ec5f_files/5.0/13_11.jpeg,13,11
train_TCGA-66-2768-11A-01-BS1.ec9dd0bd-56ed-4974-97f6-ed6a845c9d0a_7_6.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-66-2768-11A-01-BS1.ec9dd0bd-56ed-4974-97f6-ed6a845c9d0a_files/5.0/7_6.jpeg,7,6
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_7_13.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/7_13.jpeg,7,13
valid_TCGA-49-4510-11A-01-TS1.7310b502-a637-4912-857b-3c52214ad706_11_5.jpeg,Solid_Tissue_Normal,valid,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-49-4510-11A-01-TS1.7310b502-a637-4912-857b-3c52214ad706_files/5.0/11_5.jpeg,11,5
train_TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_5_11.jpeg,Solid_Tissue_Normal,train,/content/gdrive/My Drive/Colab Notebooks/DeepPATH/preproc_images5/TCGA-33-4532-11A-01-TS1.1d4e171d-673a-4f53-a92d-20bcbaba214e_files/5.0/5_11.jpeg,5,11
