image_name,true,pred,probability
ISIC_0068279,0,0,"[0.8569055795669556, 0.14309442043304443]"
ISIC_0076545,0,0,"[0.9431898593902588, 0.05681014433503151]"
ISIC_0078703,0,0,"[0.9930323362350464, 0.006967700552195311]"
ISIC_0079038,0,0,"[0.9668518900871277, 0.03314817696809769]"
ISIC_0080817,0,0,"[0.9130706191062927, 0.08692943304777145]"
ISIC_0082348,0,0,"[0.978469967842102, 0.02152998372912407]"
ISIC_0086349,0,0,"[0.933698296546936, 0.06630170345306396]"
ISIC_0089401,0,0,"[0.9936679005622864, 0.006332083139568567]"
ISIC_0094701,0,0,"[0.9855189323425293, 0.01448105089366436]"
ISIC_0094775,0,0,"[0.9915906190872192, 0.008409342728555202]"
ISIC_0097500,0,0,"[0.9934044480323792, 0.006595611572265625]"
ISIC_0100550,0,0,"[0.9704791307449341, 0.029520854353904724]"
ISIC_0105145,0,0,"[0.860785722732544, 0.13921429216861725]"
ISIC_0109703,0,0,"[0.9831395745277405, 0.01686043106019497]"
ISIC_0114225,0,0,"[0.8810637593269348, 0.11893623322248459]"
ISIC_0140339,0,0,"[0.9870755076408386, 0.012924425303936005]"
ISIC_0150363,0,0,"[0.9951221346855164, 0.004877882078289986]"
ISIC_0150975,0,0,"[0.8852347135543823, 0.11476533114910126]"
ISIC_0153589,0,0,"[0.9067209959030151, 0.09327902644872665]"
ISIC_0154338,0,0,"[0.9615022540092468, 0.03849780932068825]"
ISIC_0154880,0,0,"[0.9461642503738403, 0.05383572354912758]"
ISIC_0155012,0,0,"[0.9439546465873718, 0.05604533478617668]"
ISIC_0155473,0,0,"[0.9846039414405823, 0.015396089293062687]"
ISIC_0158187,0,0,"[0.9841967225074768, 0.015803314745426178]"
ISIC_0160270,0,0,"[0.9935696125030518, 0.006430390290915966]"
ISIC_0160455,0,0,"[0.8058351278305054, 0.1941649168729782]"
ISIC_0163110,0,0,"[0.934461236000061, 0.06553871184587479]"
ISIC_0163812,0,0,"[0.8820270299911499, 0.1179729476571083]"
ISIC_0165449,0,0,"[0.9231933951377869, 0.07680661976337433]"
ISIC_0166988,0,0,"[0.9631288647651672, 0.036871135234832764]"
ISIC_0170008,0,0,"[0.9294308423995972, 0.07056913524866104]"
ISIC_0170285,0,0,"[0.9099041819572449, 0.09009576588869095]"
ISIC_0170545,0,0,"[0.9947555065155029, 0.005244543310254812]"
ISIC_0170583,0,0,"[0.8599081039428711, 0.1400918811559677]"
ISIC_0170696,0,0,"[0.8899669647216797, 0.1100330501794815]"
ISIC_0172163,0,0,"[0.9483590722084045, 0.05164084956049919]"
ISIC_0174983,0,0,"[0.9957347512245178, 0.004265294875949621]"
ISIC_0175364,0,0,"[0.9604927897453308, 0.03950722888112068]"
ISIC_0175837,0,0,"[0.9886401891708374, 0.011359856463968754]"
ISIC_0176781,0,0,"[0.9807501435279846, 0.019249845296144485]"
ISIC_0179056,0,0,"[0.9904929995536804, 0.009507054463028908]"
ISIC_0180510,0,0,"[0.9945828318595886, 0.005417195148766041]"
ISIC_0183290,0,0,"[0.9442793130874634, 0.0557207427918911]"
ISIC_0185135,0,0,"[0.9949984550476074, 0.005001584533601999]"
ISIC_0187428,0,0,"[0.8927088975906372, 0.10729110240936279]"
ISIC_0187498,0,0,"[0.9295584559440613, 0.07044150680303574]"
ISIC_0189059,0,0,"[0.8671284317970276, 0.132871612906456]"
ISIC_0190725,0,0,"[0.9620220065116882, 0.03797794133424759]"
ISIC_0192701,0,0,"[0.9957603812217712, 0.00423968443647027]"
ISIC_0192893,0,0,"[0.818162202835083, 0.1818377673625946]"
ISIC_0195078,0,0,"[0.9939275979995728, 0.006072362419217825]"
ISIC_0196273,0,0,"[0.9943296909332275, 0.005670227576047182]"
ISIC_0196399,0,0,"[0.9073225259780884, 0.09267742931842804]"
ISIC_0196945,0,0,"[0.9839062094688416, 0.016093771904706955]"
ISIC_0200611,0,0,"[0.8976218104362488, 0.10237815231084824]"
ISIC_0202023,0,0,"[0.9954577684402466, 0.004542280919849873]"
ISIC_0203016,0,0,"[0.9008185863494873, 0.0991814136505127]"
ISIC_0204275,0,0,"[0.9904429316520691, 0.009557098150253296]"
ISIC_0205127,0,0,"[0.9755902886390686, 0.024409685283899307]"
ISIC_0206079,0,0,"[0.8845309019088745, 0.11546915024518967]"
ISIC_0207268,1,0,"[0.9214809536933899, 0.0785190612077713]"
ISIC_0208378,0,0,"[0.9291307926177979, 0.07086919993162155]"
ISIC_0210282,0,0,"[0.9950911998748779, 0.004908809904009104]"
ISIC_0212729,0,0,"[0.9929788708686829, 0.007021103985607624]"
ISIC_0213271,0,0,"[0.9002537727355957, 0.09974617511034012]"
ISIC_0214635,0,0,"[0.9888573288917542, 0.0111427316442132]"
ISIC_0215112,0,0,"[0.9467403292655945, 0.053259652107954025]"
